schemaVersion,recordType,source.name,source.url,content.title,content.url,content.published_date,content.full_text,content.summary,collectedAt
1.0,NEWS,Hacker News AI,https://www.bloomberg.com/news/articles/2026-08-27/nvidia-starts-pac-as-ai-chip-maker-builds-dc-influence-force,Nvidia Starts Pac as AI Chip Maker Builds DC Influence Force,https://www.bloomberg.com/news/articles/2026-08-27/nvidia-starts-pac-as-ai-chip-maker-builds-dc-influence-force,2026-08-29T05:07:31+00:00,Nvidia Starts Pac as AI Chip Maker Builds DC Influence Force,Nvidia Starts Pac as AI Chip Maker Builds DC Influence Force,2026-08-29T05:31:27.115653+00:00
1.0,NEWS,Hacker News AI,https://news.ycombinator.com/item?id=49487030,Are these 13 free AV and Robotics engineering calculators are useful?,https://news.ycombinator.com/item?id=49487030,2026-08-29T05:05:22+00:00,Let me know how i can improve https://www.udhy.com/tools/,Are these 13 free AV and Robotics engineering calculators are useful?,2026-08-29T05:31:27.104490+00:00
1.0,NEWS,Hacker News AI,https://vote.debian.org/~secretary/gr_llm/results.txt,Debian has published the official results for the 2026 GR on LLM usage,https://vote.debian.org/~secretary/gr_llm/results.txt,2026-08-29T04:48:52+00:00,Debian has published the official results for the 2026 GR on LLM usage,Debian has published the official results for the 2026 GR on LLM usage,2026-08-29T05:31:26.934293+00:00
1.0,NEWS,Hacker News AI,https://news.ycombinator.com/item?id=49486912,Ask HN: What BOYK AI client are you using?,https://news.ycombinator.com/item?id=49486912,2026-08-29T04:38:08+00:00,"I built an AI desktop client specifically designed for non-programmers, which has the capabilities of Codex/Claude Desktop, but it is localized, protects all your privacy, and supports any model call.Would you like to try using it? Any questions, feel free to ask me!",Ask HN: What BOYK AI client are you using?,2026-08-29T05:31:27.261793+00:00
1.0,NEWS,Hacker News AI,https://substack.com/profile/526971458-yasaswi-yash-kompella/note/c-325001983,AI Mediated Learning,https://substack.com/profile/526971458-yasaswi-yash-kompella/note/c-325001983,2026-08-29T04:30:28+00:00,AI Mediated Learning,AI Mediated Learning,2026-08-29T05:31:27.291255+00:00
1.0,NEWS,Hacker News AI,https://learn.microsoft.com/en-us/azure/security/fundamentals/shared-responsibility-ai-agent,Microsoft's Guidance on AI Agents Shared Responsibility Model,https://learn.microsoft.com/en-us/azure/security/fundamentals/shared-responsibility-ai-agent,2026-08-29T04:28:47+00:00,Microsoft's Guidance on AI Agents Shared Responsibility Model,Microsoft's Guidance on AI Agents Shared Responsibility Model,2026-08-29T05:31:27.365162+00:00
1.0,NEWS,Hacker News AI,https://www.roderick.dev/writing/2026-08-28-obsessing-harnesses/,Obsessing over AI Agent Harnesses,https://www.roderick.dev/writing/2026-08-28-obsessing-harnesses/,2026-08-29T04:28:08+00:00,Obsessing over AI Agent Harnesses,Obsessing over AI Agent Harnesses,2026-08-29T05:31:27.373095+00:00
1.0,NEWS,Hacker News AI,https://shotah.github.io/gantree/,I built an AI assistant that keeps working after the chat ends,https://shotah.github.io/gantree/,2026-08-29T04:24:17+00:00,I built an AI assistant that keeps working after the chat ends,I built an AI assistant that keeps working after the chat ends,2026-08-29T05:31:27.369587+00:00
1.0,NEWS,Hacker News AI,https://www.wired.com/story/inside-metas-experiments-with-data-center-robots/,Meta's Push to Put Robots to Work in Data Centers,https://www.wired.com/story/inside-metas-experiments-with-data-center-robots/,2026-08-29T04:21:17+00:00,Meta's Push to Put Robots to Work in Data Centers,Meta's Push to Put Robots to Work in Data Centers,2026-08-29T05:31:27.371221+00:00
1.0,NEWS,Hacker News AI,https://www.ezducate.ai/,Ezducate an AI powered special education platform,https://www.ezducate.ai/,2026-08-29T03:15:11+00:00,Ezducate an AI powered special education platform,Ezducate an AI powered special education platform,2026-08-29T05:31:27.654021+00:00
1.0,NEWS,Hacker News AI,https://hfviewer.com/zai-org/GLM-5.3,Interactive Model View zai-org/GLM-5.3,https://hfviewer.com/zai-org/GLM-5.3,2026-08-29T03:06:22+00:00,Interactive Model View zai-org/GLM-5.3,Interactive Model View zai-org/GLM-5.3,2026-08-29T05:31:27.659639+00:00
1.0,NEWS,Hacker News AI,https://www.stipple.sh/resources/ai-citation-hallucination-benchmark,Citations in AI-written reports did not exist,https://www.stipple.sh/resources/ai-citation-hallucination-benchmark,2026-08-29T02:59:23+00:00,Citations in AI-written reports did not exist,Citations in AI-written reports did not exist,2026-08-29T05:31:27.666265+00:00
1.0,NEWS,Hacker News AI,https://www.mcsweeneys.net/articles/im-the-guy-who-destroys-antique-books-after-we-scan-them-into-our-companys-insatiable-ai-platform,I'm the Guy Who Destroys Antique Books After We Scan Them into Our Company's AI,https://www.mcsweeneys.net/articles/im-the-guy-who-destroys-antique-books-after-we-scan-them-into-our-companys-insatiable-ai-platform,2026-08-29T02:58:12+00:00,I'm the Guy Who Destroys Antique Books After We Scan Them into Our Company's AI,I'm the Guy Who Destroys Antique Books After We Scan Them into Our Company's AI,2026-08-29T05:31:27.703953+00:00
1.0,NEWS,Hacker News AI,https://www.phoronix.com/news/Debian-Votes-Responsible-AI-Use,"Debian Votes to Allow ""Responsible Use of Generative AI""",https://www.phoronix.com/news/Debian-Votes-Responsible-AI-Use,2026-08-29T02:57:43+00:00,"Debian Votes to Allow ""Responsible Use of Generative AI""","Debian Votes to Allow ""Responsible Use of Generative AI""",2026-08-29T05:31:27.830409+00:00
1.0,NEWS,Hacker News AI,https://www.sfgate.com/local/article/open-ai-anthropic-ruining-sf-22404657.php,OpenAI and Anthropic are ruining San Francisco,https://www.sfgate.com/local/article/open-ai-anthropic-ruining-sf-22404657.php,2026-08-29T02:57:13+00:00,OpenAI and Anthropic are ruining San Francisco,OpenAI and Anthropic are ruining San Francisco,2026-08-29T05:31:27.830847+00:00
1.0,NEWS,Hacker News AI,https://hirealpha.chat/,Agents in IMessages that can do anything,https://hirealpha.chat/,2026-08-29T02:56:19+00:00,Agents in IMessages that can do anything,Agents in IMessages that can do anything,2026-08-29T05:31:27.830999+00:00
